oportunidades,hits,h_hat,delta_rel,z,p_val,stability_score,signos_consistentes,delta_rel_sub,p_val_sub,oportunidades_sub,delta_rel_2015-01-01_2018-12-31,p_val_2015-01-01_2018-12-31,oportunidades_2015-01-01_2018-12-31,recencia_bin,numero,recencia_min,recencia_max,clasificacion_hazard_numero,delta_rel_2011-10-19_2014-12-31,p_val_2011-10-19_2014-12-31,oportunidades_2011-10-19_2014-12-31
277,9,0.032490974729241874,0.08303249097472917,0.243031580766914,0.40399046640817526,0.0,True,{},{},{},,,,46-60,44,46,60,ninguno,,,
265,4,0.01509433962264151,-0.4968553459119497,-1.422419391063843,0.9225477314208854,0.0,True,{},{},{},,,,46-60,45,46,60,ninguno,,,
239,7,0.029288702928870293,-0.0237099023709902,-0.06446195555910045,0.5256988004271479,0.0,True,{},{},{},,,,46-60,46,46,60,ninguno,,,
248,6,0.024193548387096774,-0.1935483870967742,-0.5360313091134231,0.7040315438887166,0.0,True,{},{},{},,,,46-60,47,46,60,ninguno,,,
267,3,0.011235955056179775,-0.6254681647940075,-1.7973621867987535,0.9638609301703815,0.0,True,{},{},{},,,,46-60,48,46,60,ninguno,,,
249,9,0.03614457831325301,0.20481927710843373,0.5683884742912344,0.2848856074383065,0.0,True,{},{},{},,,,46-60,49,46,60,ninguno,,,
256,7,0.02734375,-0.08854166666666663,-0.2491394122482333,0.5983735280797723,0.0,True,{},{},{},,,,46-60,50,46,60,ninguno,,,
222,12,0.05405405405405406,0.8018018018018019,2.1009623768378787,0.017822134519585805,0.0,True,{},{},{},,,,46-60,51,46,60,ninguno,,,
309,12,0.038834951456310676,0.2944983818770226,0.9104097766199729,0.18130322184403297,0.0,True,{},{},{},,,,46-60,52,46,60,ninguno,,,
302,12,0.039735099337748346,0.32450331125827825,0.9917389367465164,0.16066244596427395,0.0,True,{},{},{},,,,46-60,53,46,60,ninguno,,,
247,6,0.024291497975708502,-0.19028340080971656,-0.5259253946755563,0.7005299780657755,0.0,True,{},{},{},,,,46-60,54,46,60,ninguno,,,
283,6,0.02120141342756184,-0.293286219081272,-0.8676800953985832,0.8072152573160873,0.0,True,{},{},{},,,,46-60,55,46,60,ninguno,,,
