oportunidades,hits,h_hat,delta_rel,z,p_val,stability_score,signos_consistentes,delta_rel_sub,p_val_sub,oportunidades_sub,delta_rel_2011-10-19_2014-12-31,delta_rel_2015-01-01_2018-12-31,delta_rel_2019-01-01_2019-12-31,p_val_2011-10-19_2014-12-31,p_val_2015-01-01_2018-12-31,p_val_2019-01-01_2019-12-31,oportunidades_2011-10-19_2014-12-31,oportunidades_2015-01-01_2018-12-31,oportunidades_2019-01-01_2019-12-31,recencia_bin,recencia_min,recencia_max,clasificacion_hazard
38313,1184,0.030903348732806098,0.03011162442686996,1.036530354941638,0.14997739279098443,0.0,False,"{""2011-10-19_2014-12-31"": 0.06861766988138784, ""2015-01-01_2018-12-31"": 0.011185682326621954, ""2019-01-01_2019-12-31"": -0.018554337703273818}","{""2011-10-19_2014-12-31"": 0.06948177120460168, ""2015-01-01_2018-12-31"": 0.39417125141739395, ""2019-01-01_2019-12-31"": 0.5880689188846231}","{""2011-10-19_2014-12-31"": 15035, ""2015-01-01_2018-12-31"": 18625, ""2019-01-01_2019-12-31"": 4653}",0.06861766988138784,0.011185682326621954,-0.018554337703273818,0.06948177120460168,0.39417125141739395,0.5880689188846231,15035,18625,4653,1-5,,,ninguno
52287,1541,0.02947195287547574,-0.017601570817475307,-0.7078203586169806,0.7604715890166052,0.0,False,"{""2011-10-19_2014-12-31"": -0.06073167522042365, ""2015-01-01_2018-12-31"": 0.024434862145563882, ""2019-01-01_2019-12-31"": -0.04805773069246125}","{""2011-10-19_2014-12-31"": 0.9357924538511808, ""2015-01-01_2018-12-31"": 0.24624908019720593, ""2019-01-01_2019-12-31"": 0.752402462055765}","{""2011-10-19_2014-12-31"": 20264, ""2015-01-01_2018-12-31"": 25510, ""2019-01-01_2019-12-31"": 6513}",-0.06073167522042365,0.024434862145563882,-0.04805773069246125,0.9357924538511808,0.24624908019720593,0.752402462055765,20264,25510,6513,11-20,,,ninguno
38587,1169,0.03029517713219478,0.009839237739826003,0.33990434957866483,0.3669642804877409,0.0,False,"{""2011-10-19_2014-12-31"": 0.0422222222222222, ""2015-01-01_2018-12-31"": -0.011344642412603492, ""2019-01-01_2019-12-31"": -0.008469324519727248}","{""2011-10-19_2014-12-31"": 0.1815659049842202, ""2015-01-01_2018-12-31"": 0.6076355573230006, ""2019-01-01_2019-12-31"": 0.5412690384660847}","{""2011-10-19_2014-12-31"": 15000, ""2015-01-01_2018-12-31"": 18746, ""2019-01-01_2019-12-31"": 4841}",0.0422222222222222,-0.011344642412603492,-0.008469324519727248,0.1815659049842202,0.6076355573230006,0.5412690384660847,15000,18746,4841,21-30,,,ninguno
39633,1132,0.028562056871798754,-0.04793143760670818,-1.6781226099505113,0.953338417156768,0.0,False,"{""2011-10-19_2014-12-31"": -0.06885245901639345, ""2015-01-01_2018-12-31"": -0.039400010273796596, ""2019-01-01_2019-12-31"": -0.016815839435855667}","{""2011-10-19_2014-12-31"": 0.9325822785796062, ""2015-01-01_2018-12-31"": 0.8331690653699784, ""2019-01-01_2019-12-31"": 0.5821308428766182}","{""2011-10-19_2014-12-31"": 15250, ""2015-01-01_2018-12-31"": 19467, ""2019-01-01_2019-12-31"": 4916}",-0.06885245901639345,-0.039400010273796596,-0.016815839435855667,0.9325822785796062,0.8331690653699784,0.5821308428766182,15250,19467,4916,31-45,,,ninguno
25572,757,0.02960269044267167,-0.01324365191094426,-0.3724473302765047,0.6452200899971714,0.0,False,"{""2011-10-19_2014-12-31"": -0.043743641912512635, ""2015-01-01_2018-12-31"": 0.03629725085910659, ""2019-01-01_2019-12-31"": -0.10803768290238518}","{""2011-10-19_2014-12-31"": 0.7771854924642657, ""2015-01-01_2018-12-31"": 0.2384560065629468, ""2019-01-01_2019-12-31"": 0.8634057172749807}","{""2011-10-19_2014-12-31"": 9830, ""2015-01-01_2018-12-31"": 12416, ""2019-01-01_2019-12-31"": 3326}",-0.043743641912512635,0.03629725085910659,-0.10803768290238518,0.7771854924642657,0.2384560065629468,0.8634057172749807,9830,12416,3326,46-60,,,ninguno
32809,980,0.02986985278429699,-0.004338240523433605,-0.13819263051599112,0.5549559103932062,0.0,False,"{""2011-10-19_2014-12-31"": 0.03423959884039802, ""2015-01-01_2018-12-31"": -0.01819773622662747, ""2019-01-01_2019-12-31"": -0.07110563090834353}","{""2011-10-19_2014-12-31"": 0.24816750508830895, ""2015-01-01_2018-12-31"": 0.6571498599399377, ""2019-01-01_2019-12-31"": 0.7870698083080655}","{""2011-10-19_2014-12-31"": 12763, ""2015-01-01_2018-12-31"": 15991, ""2019-01-01_2019-12-31"": 4055}",0.03423959884039802,-0.01819773622662747,-0.07110563090834353,0.24816750508830895,0.6571498599399377,0.7870698083080655,12763,15991,4055,6-10,,,ninguno
44661,1307,0.02926490674190009,-0.02450310860333029,-0.9106681898515814,0.8187648852121518,0.3333333333333333,False,"{""2011-10-19_2014-12-31"": -0.02859381120250681, ""2015-01-01_2018-12-31"": -0.05992425930051229, ""2019-01-01_2019-12-31"": 0.1419040287400565}","{""2011-10-19_2014-12-31"": 0.744098990311614, ""2015-01-01_2018-12-31"": 0.9428132520016976, ""2019-01-01_2019-12-31"": 0.036018221800695555}","{""2011-10-19_2014-12-31"": 17020, ""2015-01-01_2018-12-31"": 22445, ""2019-01-01_2019-12-31"": 5196}",-0.02859381120250681,-0.05992425930051229,0.1419040287400565,0.744098990311614,0.9428132520016976,0.036018221800695555,17020,22445,5196,61-90,,,ninguno
